_id,aircraft_make,aircraft_model,difficulty_date
aircrafts_2004FA0000178,AMRGEN,AA1B,1_9_04
aircrafts_2004FA0000078,DHAV,,
aircrafts_2004FA0000237,AMTR,ALARUSCH2T,2_6_04
aircrafts_CA040105005,AMD,FALCON20,12_5_03
aircrafts_CA031222001,DHAV,,
aircrafts_CA040213008,DHAV,,
aircrafts_11_20_2003,DHC3,,
aircrafts_2_10_2004,DHC2MK1,,
aircrafts_7_14_2003,DHC2MK1,,
aircrafts_2004FA0000240,AMTR,ALARUSCH2T,2_6_04
aircrafts_12_12_2003,A1,,
aircrafts_CA040213010,DHAV,,
aircrafts_2004FA0000239,AMTR,ALARUSCH2T,2_6_04
aircrafts_2004FA0000236,AMTR,ALARUSCH2T,2_6_04
aircrafts_2004FA0000241,AMTR,ALARUSCH2T,2_6_04
aircrafts_2004FA0000238,AMTR,ALARUSCH2T,2_6_04
aircrafts_CA031218004,DHAV,,
aircrafts_CA040127003,DHAV,,
aircrafts_2004FA0000097,AGUSTA,A109A2,1_9_04
aircrafts_2004FA0000009,CHRIS,,
aircrafts_2004FA0000088,AMBLP,A150,1_12_04
aircrafts_12_17_2003,DHC3,,
aircrafts_N4848M,CURTIS,,
aircrafts_CA040213009,DHAV,,
aircrafts_10_8_2003,TRVAIR2000,,
aircrafts_2_20_2004,T210N,,
aircrafts_2004FA0000242,AMTR,ALARUSCH2T,2_6_04
aircrafts_CA040225007,DHAV,,
aircrafts_2004FA0000243,AMTR,ALARUSCH2T,2_6_04
aircrafts_10_1_2003,DHC3,,
aircrafts_CA040219005,DHAV,,
aircrafts_CA040105008,AMD,FALCON20F5,1_3_04
aircrafts_2004FA0000219,CVAC,,
aircrafts_2004FA0000235,AMTR,ALARUSCH2T,2_6_04
aircrafts_1_7_2004,SR22,,
aircrafts_12_17_2003,DH82,,
aircrafts_2004FA0000076,AMRGEN,AA5B,1_14_04
aircrafts_CA040213007,DHAV,,
aircrafts_1_13_2004,440,,
aircrafts_1_29_2004,DHC3,,
aircrafts_2004FA0000222,CIRRUS,,
