_from,_to,relationship
aircrafts_2004FA0000097,engines_ALLSN_250C20,has_engine
aircrafts_2004FA0000097,parts_1090512431,has_part
engines_ALLSN_250C20,parts_1090512431,engine_to_part
aircrafts_2004FA0000088,engines_LYC_IO360A1A,has_engine
aircrafts_2004FA0000088,parts_ABC10800318,has_part
engines_LYC_IO360A1A,parts_ABC10800318,engine_to_part
aircrafts_CA040105005,engines_GE_CF7002D2,has_engine
aircrafts_CA040105005,parts_MY20515108003,has_part
engines_GE_CF7002D2,parts_MY20515108003,engine_to_part
aircrafts_CA040105008,engines_GE_CF7002D2,has_engine
aircrafts_CA040105008,parts_A23802105,has_part
engines_GE_CF7002D2,parts_A23802105,engine_to_part
aircrafts_2004FA0000178,engines_LYC_O235C2C,has_engine
aircrafts_2004FA0000178,parts_LW13792,has_part
engines_LYC_O235C2C,parts_LW13792,engine_to_part
aircrafts_2004FA0000076,engines__,has_engine
aircrafts_2004FA0000076,parts_510229616,has_part
engines__,parts_510229616,engine_to_part
aircrafts_2004FA0000235,engines_LYC_O235*,has_engine
aircrafts_2004FA0000235,parts_da3742f4-a252-40ad-add3-2f9296064fcc,has_part
engines_LYC_O235*,parts_da3742f4-a252-40ad-add3-2f9296064fcc,engine_to_part
aircrafts_2004FA0000236,engines_LYC_O235*,has_engine
aircrafts_2004FA0000236,parts_65dc4fdc-87a7-4407-9088-67d7126ac360,has_part
engines_LYC_O235*,parts_65dc4fdc-87a7-4407-9088-67d7126ac360,engine_to_part
aircrafts_2004FA0000237,engines_LYC_O235*,has_engine
aircrafts_2004FA0000237,parts_c3384b28-c7fc-4656-95e6-b0fb00d4a1a4,has_part
engines_LYC_O235*,parts_c3384b28-c7fc-4656-95e6-b0fb00d4a1a4,engine_to_part
aircrafts_2004FA0000238,engines_LYC_O235*,has_engine
aircrafts_2004FA0000238,parts_ac901924-e1c7-4e8a-948c-5e10d48395b8,has_part
engines_LYC_O235*,parts_ac901924-e1c7-4e8a-948c-5e10d48395b8,engine_to_part
aircrafts_2004FA0000239,engines_LYC_O235*,has_engine
aircrafts_2004FA0000239,parts_2d6da315-941c-4a24-88cd-9bb59f71f5e0,has_part
engines_LYC_O235*,parts_2d6da315-941c-4a24-88cd-9bb59f71f5e0,engine_to_part
aircrafts_2004FA0000240,engines_LYC_O235*,has_engine
aircrafts_2004FA0000240,parts_917cf3cb-70eb-40e3-9db2-e61fceb42996,has_part
engines_LYC_O235*,parts_917cf3cb-70eb-40e3-9db2-e61fceb42996,engine_to_part
aircrafts_2004FA0000241,engines_LYC_O235*,has_engine
aircrafts_2004FA0000241,parts_0eaadd7b-1df8-4ecd-9a5f-e70ef641a962,has_part
engines_LYC_O235*,parts_0eaadd7b-1df8-4ecd-9a5f-e70ef641a962,engine_to_part
aircrafts_2004FA0000242,engines_LYC_O235*,has_engine
aircrafts_2004FA0000242,parts_e87692b4-08f7-4ee9-806a-299db93e85b8,has_part
engines_LYC_O235*,parts_e87692b4-08f7-4ee9-806a-299db93e85b8,engine_to_part
aircrafts_2004FA0000243,engines_LYC_O235*,has_engine
aircrafts_2004FA0000243,parts_17b76b47-5ddb-4d91-9696-70f931cf9ed1,has_part
engines_LYC_O235*,parts_17b76b47-5ddb-4d91-9696-70f931cf9ed1,engine_to_part
aircrafts_2_20_2004,engines_TSIO520R_,has_engine
aircrafts_2_20_2004,parts_83efc3bb-7560-4a06-bfb1-6676cf99190c,has_part
engines_TSIO520R_,parts_83efc3bb-7560-4a06-bfb1-6676cf99190c,engine_to_part
aircrafts_2004FA0000009,engines_LYC_,has_engine
aircrafts_2004FA0000009,parts_0ca21135-df4c-4b89-8136-b08e064c5284,has_part
engines_LYC_,parts_0ca21135-df4c-4b89-8136-b08e064c5284,engine_to_part
aircrafts_12_12_2003,engines_O360A1D_,has_engine
aircrafts_12_12_2003,parts_0edd9f85-8a59-4b20-b6f8-f3a6b3153898,has_part
engines_O360A1D_,parts_0edd9f85-8a59-4b20-b6f8-f3a6b3153898,engine_to_part
aircrafts_2004FA0000222,engines__,has_engine
aircrafts_2004FA0000222,parts_f75613fa-e99f-4848-84b5-17136d951fb3,has_part
engines__,parts_f75613fa-e99f-4848-84b5-17136d951fb3,engine_to_part
aircrafts_1_7_2004,engines__,has_engine
aircrafts_1_7_2004,parts_ea4f3eec-70b5-4359-ba04-df4bbbf99d08,has_part
engines__,parts_ea4f3eec-70b5-4359-ba04-df4bbbf99d08,engine_to_part
aircrafts_N4848M,engines__,has_engine
aircrafts_N4848M,parts_91a6e98d-466e-45f1-b79c-9d345116faee,has_part
engines__,parts_91a6e98d-466e-45f1-b79c-9d345116faee,engine_to_part
aircrafts_10_8_2003,engines__,has_engine
aircrafts_10_8_2003,parts_4ff77a45-964f-4b90-b31a-9d4598d48abb,has_part
engines__,parts_4ff77a45-964f-4b90-b31a-9d4598d48abb,engine_to_part
aircrafts_2004FA0000219,engines_ALLSN_,has_engine
aircrafts_2004FA0000219,parts_c0688469-7cc8-4eb4-8e8c-0f3891216df8,has_part
engines_ALLSN_,parts_c0688469-7cc8-4eb4-8e8c-0f3891216df8,engine_to_part
aircrafts_1_13_2004,engines_501D13_,has_engine
aircrafts_1_13_2004,parts_5803aea7-5f5f-443f-b214-506f7affa81b,has_part
engines_501D13_,parts_5803aea7-5f5f-443f-b214-506f7affa81b,engine_to_part
aircrafts_CA031222001,engines_PWA_,has_engine
aircrafts_CA031222001,parts_5bc753f6-9b85-4c6a-87b5-d508963a236f,has_part
engines_PWA_,parts_5bc753f6-9b85-4c6a-87b5-d508963a236f,engine_to_part
aircrafts_12_17_2003,engines_PW123_,has_engine
aircrafts_12_17_2003,parts_9e9383ec-a3e5-48e3-971e-688d3016e7a7,has_part
engines_PW123_,parts_9e9383ec-a3e5-48e3-971e-688d3016e7a7,engine_to_part
aircrafts_CA040225007,engines_PWA_,has_engine
aircrafts_CA040225007,parts_47a4a867-e8fa-4969-a8a4-440fc4210cf9,has_part
engines_PWA_,parts_47a4a867-e8fa-4969-a8a4-440fc4210cf9,engine_to_part
aircrafts_7_14_2003,engines_R985AN14B_,has_engine
aircrafts_7_14_2003,parts_a3ad32de-d27d-439d-b54a-f120fb356343,has_part
engines_R985AN14B_,parts_a3ad32de-d27d-439d-b54a-f120fb356343,engine_to_part
aircrafts_CA040213007,engines_PWA_,has_engine
aircrafts_CA040213007,parts_626b967d-5234-47ba-af8f-72415fd1483b,has_part
engines_PWA_,parts_626b967d-5234-47ba-af8f-72415fd1483b,engine_to_part
aircrafts_2_10_2004,engines_R985AN14B_,has_engine
aircrafts_2_10_2004,parts_370ada64-36eb-4417-8205-9c21093700a0,has_part
engines_R985AN14B_,parts_370ada64-36eb-4417-8205-9c21093700a0,engine_to_part
aircrafts_CA040213008,engines_PWA_,has_engine
aircrafts_CA040213008,parts_ba737dfa-cf2e-4aa0-8038-c42b17e2fd43,has_part
engines_PWA_,parts_ba737dfa-cf2e-4aa0-8038-c42b17e2fd43,engine_to_part
aircrafts_2_10_2004,engines_R985AN14B_,has_engine
aircrafts_2_10_2004,parts_79b20e00-7509-42e6-8ba2-c3932be2636d,has_part
engines_R985AN14B_,parts_79b20e00-7509-42e6-8ba2-c3932be2636d,engine_to_part
aircrafts_CA040213009,engines_PWA_,has_engine
aircrafts_CA040213009,parts_bfda618a-4d5e-4637-890e-25a04c48ddd2,has_part
engines_PWA_,parts_bfda618a-4d5e-4637-890e-25a04c48ddd2,engine_to_part
aircrafts_2_10_2004,engines_R985AN14B_,has_engine
aircrafts_2_10_2004,parts_f10ee4ad-a035-4ab0-adfb-29207471633a,has_part
engines_R985AN14B_,parts_f10ee4ad-a035-4ab0-adfb-29207471633a,engine_to_part
aircrafts_CA040213010,engines_PWA_,has_engine
aircrafts_CA040213010,parts_0bfab7c8-a6ce-4c82-84c9-a965e18f6001,has_part
engines_PWA_,parts_0bfab7c8-a6ce-4c82-84c9-a965e18f6001,engine_to_part
aircrafts_2004FA0000078,engines_PWA_,has_engine
aircrafts_2004FA0000078,parts_2cc50440-1b2f-4b53-8434-e9522fbe2e7e,has_part
engines_PWA_,parts_2cc50440-1b2f-4b53-8434-e9522fbe2e7e,engine_to_part
aircrafts_11_20_2003,engines_PT6A135_,has_engine
aircrafts_11_20_2003,parts_ae7246fe-4b9b-457d-be3f-2a44dac68df7,has_part
engines_PT6A135_,parts_ae7246fe-4b9b-457d-be3f-2a44dac68df7,engine_to_part
aircrafts_CA040219005,engines_PWA_,has_engine
aircrafts_CA040219005,parts_be6784db-8d92-49b3-85ca-362c2effc011,has_part
engines_PWA_,parts_be6784db-8d92-49b3-85ca-362c2effc011,engine_to_part
aircrafts_1_29_2004,engines_PT6A34_,has_engine
aircrafts_1_29_2004,parts_21b9e160-de75-4710-bb4e-e3a7c53dd9c7,has_part
engines_PT6A34_,parts_21b9e160-de75-4710-bb4e-e3a7c53dd9c7,engine_to_part
aircrafts_CA031218004,engines_PWA_,has_engine
aircrafts_CA031218004,parts_2aa43816-b1ad-4a8d-9171-a70bd58291bc,has_part
engines_PWA_,parts_2aa43816-b1ad-4a8d-9171-a70bd58291bc,engine_to_part
aircrafts_12_17_2003,engines_S3H1G_,has_engine
aircrafts_12_17_2003,parts_febabafb-4d79-4b3d-97b2-3cac90bcc6eb,has_part
engines_S3H1G_,parts_febabafb-4d79-4b3d-97b2-3cac90bcc6eb,engine_to_part
aircrafts_CA040127003,engines_PWA_,has_engine
aircrafts_CA040127003,parts_399d54f9-2c69-4c3e-a9d8-85a6302faf4d,has_part
engines_PWA_,parts_399d54f9-2c69-4c3e-a9d8-85a6302faf4d,engine_to_part
aircrafts_10_1_2003,engines_S3H1G_,has_engine
aircrafts_10_1_2003,parts_955e5bcb-99d2-4bcb-8589-932a6bf36c15,has_part
engines_S3H1G_,parts_955e5bcb-99d2-4bcb-8589-932a6bf36c15,engine_to_part
