_id,part_name,part_condition,part_number,part_location
parts_0bfab7c8-a6ce-4c82-84c9-a965e18f6001,JACKSCREW,CORRODED,0bfab7c8-a6ce-4c82-84c9-a965e18f6001,
parts_A23802105,SQUAT SWITCH,FROZEN,A23802105,NLG
parts_91a6e98d-466e-45f1-b79c-9d345116faee,CHARGER,BURNED,91a6e98d-466e-45f1-b79c-9d345116faee,
parts_ba737dfa-cf2e-4aa0-8038-c42b17e2fd43,TORQUE TUBE,WORN,ba737dfa-cf2e-4aa0-8038-c42b17e2fd43,
parts_4ff77a45-964f-4b90-b31a-9d4598d48abb,MASTER BATTERY,,4ff77a45-964f-4b90-b31a-9d4598d48abb,
parts_bfda618a-4d5e-4637-890e-25a04c48ddd2,HOUSING,CRACKED,bfda618a-4d5e-4637-890e-25a04c48ddd2,
parts_ae7246fe-4b9b-457d-be3f-2a44dac68df7,C3UF811,MLG FLOAT,ae7246fe-4b9b-457d-be3f-2a44dac68df7,
parts_e87692b4-08f7-4ee9-806a-299db93e85b8,FUEL TANK,LEAKING,e87692b4-08f7-4ee9-806a-299db93e85b8,LT WING
parts_510229616,STIFFENER,CRACKED,510229616,HORIZONTAL STAB
parts_79b20e00-7509-42e6-8ba2-c3932be2636d,C2T7A,ELEVATOR,79b20e00-7509-42e6-8ba2-c3932be2636d,
parts_2aa43816-b1ad-4a8d-9171-a70bd58291bc,ROD,WORN,2aa43816-b1ad-4a8d-9171-a70bd58291bc,
parts_ac901924-e1c7-4e8a-948c-5e10d48395b8,RUDDER,MISINSTALLED,ac901924-e1c7-4e8a-948c-5e10d48395b8,VERTICAL STAB
parts_c0688469-7cc8-4eb4-8e8c-0f3891216df8,O-RING,CUT,c0688469-7cc8-4eb4-8e8c-0f3891216df8,
parts_0ca21135-df4c-4b89-8136-b08e064c5284,FLYING WIRE,BROKEN,0ca21135-df4c-4b89-8136-b08e064c5284,
parts_17b76b47-5ddb-4d91-9696-70f931cf9ed1,BRACKET,BROKEN,17b76b47-5ddb-4d91-9696-70f931cf9ed1,CARB HEAT
parts_370ada64-36eb-4417-8205-9c21093700a0,C2CF209,RUDDER PEDAL,370ada64-36eb-4417-8205-9c21093700a0,
parts_2d6da315-941c-4a24-88cd-9bb59f71f5e0,BUNGEE CYLINDER,STIFF,2d6da315-941c-4a24-88cd-9bb59f71f5e0,NLG STEERING
parts_21b9e160-de75-4710-bb4e-e3a7c53dd9c7,C3CF3915,COCKPIT,21b9e160-de75-4710-bb4e-e3a7c53dd9c7,
